original_row_index,Plasmid accession,Plasmid name,strain name,Gene,tblastn_pident,blastn_pident,delta_pident,tblastn_qcovs,blastn_qcovs,delta_qcovs,abs_delta_pident,abs_delta_qcovs
739,CP084735.1,pHKU3b,HKU3,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
741,CP084732.1,pHKU4b,HKU4,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
743,CP084729.1,pHKU5b,HKU5,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
745,CP084726.1,pHKU6b,HKU6,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
747,CP084723.1,pHKU7b,HKU7,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
758,CP096763.1,p5651,5651,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
762,CP096756.1,p5663,5663,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
763,CP096754.1,p5664,5664,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
770,CP096744.1,p5671_2,5671,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
792,CP096706.1,p5761,5761,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
799,CP096691.1,p5839,5839,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
812,CP094285.1,pNY5301-2,NY5301,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
826,CP099787.1,pNCCP15992,NCCP 15992,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
832,CP100306.1,p1KBN10P05679,KBN10P05679,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
202,CP017657.1,pKAB08,KAB08,ABUW_4005,100,99.238,-0.762,100,100,0,0.762,0
66,AFDB02000004.1,pNaval81-67,Naval-81,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
73,ALII01000020.1,pIS123-67,IS-123,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
76,AFDL01000006.1,pOIFC143-70,OIFC143,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
273,CM009084.2,p2ZQ9,ZQ1,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
281,CM009650.1,p4ZQ3,ZQ3,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
318,CP029571.1,pDA33098-71,DA33098,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
419,CP061516.1,pCFSAN093710_2,CFSAN093710,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
420,CP042842.1,pATCCBAA-1790,ATCC BAA-1790,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
461,KR535992.1,pA105-1,A105,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
469,KX230794.1,pMAL-2,MAL,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
517,CP050392.1,pVB11737_1,VB11737,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
538,CP050413.1,pPM192696_1,PM192696,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
656,CP072124.1,p2KSK1,KSK1,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
660,CP072400.1,p2KSK2,KSK2,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
664,CP072272.1,p2KSK6,KSK6,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
668,CP072277.1,p2KSK7,KSK7,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
672,CP072282.1,p2KSK10,KSK10,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
676,CP072287.1,p2KSK11,KSK11,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
680,CP072292.1,p2KSK18,KSK18,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
684,CP072297.1,p2KSK19,KSK19,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
688,CP072302.1,p2KSK20,KSK20,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
699,CP076818.1,p1UC24137,UC24137,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
709,CP076805.1,p1UC24371,UC24371,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
711,CP076802.1,p1UC25604,UC25604,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
807,CP091595.1,pR32_2,Nord4-2,ABUW_4094,99.099,99.702,0.603,100,100,0,0.603,0
81,CP007580.1,pAC30c,AC30,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
100,CP001922.1,ABKp1,1656-2,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
104,CP002524.1,p2ABTCDC0715,TCDC-AB0715,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
116,CP008851.1,pAC29b,AC29,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
196,CP017645.1,pKAB02,KAB02,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
198,CP017649.1,pKAB04,KAB04,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
201,CP017655.1,pKAB07,KAB07,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
218,CP020589.1,p15A34_1,15A34,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
221,CP020582.1,pJBA13_1,JBA13,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
222,CP020580.1,pSSMA17_1,SSMA17,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
224,CP020577.1,pSSA12_1,SSA12,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
231,CP021787.1,pA85-3,A85,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
232,CP021322.1,pXH731,XH731,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
485,MG954379.1,pS32-2,SGH0905,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
505,CP050915.1,pDT-Ab007,DT-Ab007,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
589,CP082226.1,p2016BJAB1,2016BJAB1,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
644,CP066238.1,pG20AB007-1,G20AB007,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
647,CP066236.1,pG20AB009-1,G20AB009,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
648,CP066233.1,pG20AB010-1,G20AB010,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
650,CP066230.1,pG20AB011-1,G20AB011,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
717,CP077838.1,pDETAB7a,DETAB-E159,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
724,CP077833.1,pDETAB7d,DETAB-P43,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
726,CP077836.1,pDETAB7b,DETAB-P65,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
739,CP084735.1,pHKU3b,HKU3,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
741,CP084732.1,pHKU4b,HKU4,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
743,CP084729.1,pHKU5b,HKU5,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
745,CP084726.1,pHKU6b,HKU6,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
747,CP084723.1,pHKU7b,HKU7,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
770,CP096744.1,p5671_2,5671,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
792,CP096706.1,p5761,5761,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
799,CP096691.1,p5839,5839,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
826,CP099787.1,pNCCP15992,NCCP 15992,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
832,CP100306.1,p1KBN10P05679,KBN10P05679,ABUW_4005,100,99.429,-0.571,100,100,0,0.571,0
181,CP014216.1,p2YU-R612,YU-R612,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
217,CP020593.1,pUSA2_1,USA2,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
225,CP020573.1,p15A5_1,15A5,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
274,CP025267.1,pSMC_AB_BL01_1,SMC_Paed_Ab_BL01,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
497,MK386681.1,pABAY09008_1B,ABAY09008,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
586,CP082228.1,p2018HLJAB2,2018HLJAB2,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
588,CP082895.1,p2018HBAB1-2,2018HBAB1,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
589,CP082226.1,p2016BJAB1,2016BJAB1,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
595,CP082221.1,p2018TJAB1,2018TJAB1,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
596,CP082220.1,p2018BJAB1,2018BJAB1,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
597,CP082219.1,p2018BJAB2,2018BJAB2,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
772,CP096739.1,p5679,5679,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
800,CP096689.1,p5840,5840,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
825,CP099785.1,pNCCP15989*,NCCP 15989,ABUW_4006,98.413,98.95,0.537,100,100,0,0.537,0
45,HG977523.1,pCS01A,CS01,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
47,HG977527.1,pCR17A,CR17,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
66,AFDB02000004.1,pNaval81-67,Naval-81,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
73,ALII01000020.1,pIS123-67,IS-123,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
76,AFDL01000006.1,pOIFC143-70,OIFC143,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
84,AEOY01000095.1,p1ABST2,3990,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
99,CP000865.1,pACICU2,ACICU,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
183,CP014292.1,p2AB34299,AB34299,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
186,CP015366.1,pAba3207b,3207,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
240,CP023033.1,pAba7847b,7847,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
249,CP023030.1,pAba9102a,9102,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
251,CP023028.1,pAba10042b,10042,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
253,CP033245.1,pAba7835b,7835,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
273,CM009084.2,p2ZQ9,ZQ1,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
318,CP029571.1,pDA33098-71,DA33098,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
322,CP031382.1,pACICU2,ACICU,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
325,CP030109.1,pDA33382-85,DA33382,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
419,CP061516.1,pCFSAN093710_2,CFSAN093710,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
420,CP042842.1,pATCCBAA-1790,ATCC BAA-1790,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
439,CP048134.1,pD46-3,D46,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
459,KM051846.1,pD72-2,D72,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
461,KR535992.1,pA105-1,A105,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
469,KX230794.1,pMAL-2,MAL,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
482,MK243454.1,pCRA914-67,09A16CRGN0014,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
517,CP050392.1,pVB11737_1,VB11737,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
538,CP050413.1,pPM192696_1,PM192696,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
656,CP072124.1,p2KSK1,KSK1,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
660,CP072400.1,p2KSK2,KSK2,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
664,CP072272.1,p2KSK6,KSK6,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
668,CP072277.1,p2KSK7,KSK7,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
672,CP072282.1,p2KSK10,KSK10,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
676,CP072287.1,p2KSK11,KSK11,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
680,CP072292.1,p2KSK18,KSK18,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
684,CP072297.1,p2KSK19,KSK19,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
688,CP072302.1,p2KSK20,KSK20,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
807,CP091595.1,pR32_2,Nord4-2,ABUW_4006,99.206,99.738,0.532,100,100,0,0.532,0
232,CP021322.1,pXH731,XH731,ABUW_4007,97.692,98.219,0.527,100,100,0,0.527,0
267,CP024578.1,pAbPK1b,AbPK1,ABUW_4007,97.692,98.219,0.527,100,100,0,0.527,0
639,CP069841.1,p2FDAARGOS_1360,FDAARGOS_1360,ABUW_4007,97.692,98.219,0.527,100,100,0,0.527,0
717,CP077838.1,pDETAB7a,DETAB-E159,ABUW_4007,97.692,98.219,0.527,100,100,0,0.527,0
724,CP077833.1,pDETAB7d,DETAB-P43,ABUW_4007,97.692,98.219,0.527,100,100,0,0.527,0
726,CP077836.1,pDETAB7b,DETAB-P65,ABUW_4007,97.692,98.219,0.527,100,100,0,0.527,0
758,CP096763.1,p5651,5651,ABUW_4007,97.692,98.219,0.527,100,100,0,0.527,0
487,MG954377.1,pS21-2,SGH9601,ABUW_4007,99.231,98.728,-0.503,100,100,0,0.503,0
762,CP096756.1,p5663,5663,ABUW_4007,99.231,98.728,-0.503,100,100,0,0.503,0
763,CP096754.1,p5664,5664,ABUW_4007,99.231,98.728,-0.503,100,100,0,0.503,0
517,CP050392.1,pVB11737_1,VB11737,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
656,CP072124.1,p2KSK1,KSK1,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
660,CP072400.1,p2KSK2,KSK2,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
664,CP072272.1,p2KSK6,KSK6,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
668,CP072277.1,p2KSK7,KSK7,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
672,CP072282.1,p2KSK10,KSK10,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
676,CP072287.1,p2KSK11,KSK11,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
680,CP072292.1,p2KSK18,KSK18,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
684,CP072297.1,p2KSK19,KSK19,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
688,CP072302.1,p2KSK20,KSK20,ABUW_4005,99.425,99.81,0.385,100,100,0,0.385,0
1,MK531538.1,pMC23.1,MC23,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
15,AP023078.1,pOCU_Ac16a_1,OCU_Ac16a,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
102,KF889012.1,pAB_CC,TYTH-1,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
147,CP012008.1,pAB04-2,Ab04-mff,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
181,CP014216.1,p2YU-R612,YU-R612,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
197,CP017647.1,pKAB03,KAB03,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
199,CP017651.1,pKAB05,KAB05,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
200,CP017653.1,pKAB06,KAB06,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
213,CP019115.1,pMDR-CQ,MDR-CQ,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
217,CP020593.1,pUSA2_1,USA2,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
225,CP020573.1,p15A5_1,15A5,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
267,CP024578.1,pAbPK1b,AbPK1,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
274,CP025267.1,pSMC_AB_BL01_1,SMC_Paed_Ab_BL01,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
303,CP027243.1,p1_005078,WCHAB005078,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
343,CP039994.1,pTG22182_1,TG22182,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
349,CP036286.1,p60155_3,TG60155,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
357,CP038264.1,pEC_gr6,LEV1449/17Ec,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
380,CP040043.1,p3VB958,VB958,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
487,MG954377.1,pS21-2,SGH9601,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
497,MK386681.1,pABAY09008_1B,ABAY09008,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
503,CP050917.1,p2DT-Ab003,DT-Ab003,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
506,CP050912.1,p2DT-Ab020,DT-Ab020,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
509,CP050909.1,p2DT-Ab022,DT-Ab022,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
586,CP082228.1,p2018HLJAB2,2018HLJAB2,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
588,CP082895.1,p2018HBAB1-2,2018HBAB1,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
595,CP082221.1,p2018TJAB1,2018TJAB1,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
596,CP082220.1,p2018BJAB1,2018BJAB1,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
597,CP082219.1,p2018BJAB2,2018BJAB2,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
632,CP062921.1,p3Res13-Abat,Res13-Abat-PEA21-P4-01-A,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
639,CP069841.1,p2FDAARGOS_1360,FDAARGOS_1360,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
720,JAHPZP010000021.1,pAci46a,Aci46,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
727,CP077841.1,pDETAB16,DETAB-P90,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
762,CP096756.1,p5663,5663,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
763,CP096754.1,p5664,5664,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
772,CP096739.1,p5679,5679,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
784,CP096719.1,p5741_2,5741,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
800,CP096689.1,p5840,5840,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
812,CP094285.1,pNY5301-2,NY5301,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
825,CP099785.1,pNCCP15989*,NCCP 15989,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
828,CP099791.1,p1NCCP15996*,NCCP 15996,ABUW_4005,100,99.619,-0.381,100,100,0,0.381,0
1,MK531538.1,pMC23.1,MC23,ABUW_4094,100,99.702,-0.298,100,100,0,0.298,0
357,CP038264.1,pEC_gr6,LEV1449/17Ec,ABUW_4094,100,99.702,-0.298,100,100,0,0.298,0
487,MG954377.1,pS21-2,SGH9601,ABUW_4094,100,99.702,-0.298,100,100,0,0.298,0
762,CP096756.1,p5663,5663,ABUW_4094,100,99.702,-0.298,100,100,0,0.298,0
763,CP096754.1,p5664,5664,ABUW_4094,100,99.702,-0.298,100,100,0,0.298,0
102,KF889012.1,pAB_CC,TYTH-1,ABUW_4006,99.206,99.475,0.269,100,100,0,0.269,0
197,CP017647.1,pKAB03,KAB03,ABUW_4006,99.206,99.475,0.269,100,100,0,0.269,0
303,CP027243.1,p1_005078,WCHAB005078,ABUW_4006,99.206,99.475,0.269,100,100,0,0.269,0
720,JAHPZP010000021.1,pAci46a,Aci46,ABUW_4006,99.206,99.475,0.269,100,100,0,0.269,0
727,CP077841.1,pDETAB16,DETAB-P90,ABUW_4006,99.206,99.475,0.269,100,100,0,0.269,0
784,CP096719.1,p5741_2,5741,ABUW_4006,99.206,99.475,0.269,100,100,0,0.269,0
828,CP099791.1,p1NCCP15996*,NCCP 15996,ABUW_4006,99.206,99.475,0.269,100,100,0,0.269,0
81,CP007580.1,pAC30c,AC30,ABUW_4007,99.231,99.491,0.26,100,100,0,0.26,0
116,CP008851.1,pAC29b,AC29,ABUW_4007,99.231,99.491,0.26,100,100,0,0.26,0
102,KF889012.1,pAB_CC,TYTH-1,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
104,CP002524.1,p2ABTCDC0715,TCDC-AB0715,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
197,CP017647.1,pKAB03,KAB03,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
198,CP017649.1,pKAB04,KAB04,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
221,CP020582.1,pJBA13_1,JBA13,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
222,CP020580.1,pSSMA17_1,SSMA17,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
231,CP021787.1,pA85-3,A85,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
303,CP027243.1,p1_005078,WCHAB005078,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
485,MG954379.1,pS32-2,SGH0905,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
505,CP050915.1,pDT-Ab007,DT-Ab007,ABUW_4007,100,99.746,-0.254,100,100,0,0.254,0
