qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	qcovhsp	stitle	accession
AKA33575.1	gb|CP026706.1|	100.0	421	0	0	1	421	57265	56003	0.0	874.0	421	72105	100	100	Acinetobacter baumannii strain AR_0056 plasmid tig00000059_pilon, complete sequence	CP026706.1
AKA33575.1	gb|CP026712.1|	100.0	421	0	0	1	421	28119	26857	0.0	874.0	421	72990	100	100	Acinetobacter baumannii strain AR_0063 plasmid unitig_2_pilon, complete sequence	CP026712.1
AKA33575.1	gb|CP026946.1|	100.0	421	0	0	1	421	24411	25673	0.0	874.0	421	72204	100	100	Acinetobacter baumannii strain S1 plasmid pAbS1_03	CP026946.1
AKA33575.1	gb|CP027243.1|	99.762	421	1	0	1	421	2572	3834	0.0	873.0	421	70796	100	100	Acinetobacter baumannii strain WCHAB005078 plasmid p1_005078, complete sequence	CP027243.1
AKA33575.1	gb|CP027532.1|	40.464	388	224	7	9	392	33804	32650	7.1e-89	295.0	421	41087	91	91	Acinetobacter baumannii strain AR_0088 plasmid unnamed2, complete sequence	CP027532.1
AKA33575.1	gb|CP029571.1|	100.0	421	0	0	1	421	3005	4267	0.0	874.0	421	71234	100	100	Acinetobacter baumannii strain DA33098 plasmid pDA33098-71, complete sequence	CP029571.1
AKA33575.1	gb|CP030109.1|	100.0	421	0	0	1	421	46532	47794	0.0	874.0	421	84678	100	100	Acinetobacter baumannii strain DA33382 plasmid pDA33382-85, complete sequence	CP030109.1
AKA33575.1	gb|CP031382.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	70101	100	100	Acinetobacter baumannii ACICU plasmid pACICU2, complete sequence	CP031382.1
AKA33575.1	gb|CP033245.1|	100.0	421	0	0	1	421	47993	46731	0.0	874.0	421	80548	100	100	Acinetobacter baumannii strain 7835 plasmid pAba7835b, complete sequence	CP033245.1
AKA33575.1	gb|CP035047.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	74091	100	100	Acinetobacter baumannii strain ABUH793 plasmid p74.1Kbp, complete sequence	CP035047.1
AKA33575.1	gb|CP036286.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	71234	100	100	Acinetobacter baumannii strain TG60155 plasmid p60155_3, complete sequence	CP036286.1
AKA33575.1	gb|CP038264.1|	100.0	421	0	0	1	421	62951	64213	0.0	874.0	421	76956	100	100	Acinetobacter baumannii strain EC plasmid pEC_gr6, complete sequence	CP038264.1
AKA33575.1	gb|CP039994.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	71233	100	100	Acinetobacter baumannii strain TG22182 plasmid pTG22182_1, complete sequence	CP039994.1
AKA33575.1	gb|CP040043.1|	100.0	421	0	0	1	421	3351	4613	0.0	874.0	421	82500	100	100	Acinetobacter baumannii strain VB958 plasmid unnamed3, complete sequence	CP040043.1
AKA33575.1	gb|CP042842.1|	100.0	421	0	0	1	421	27896	29158	0.0	874.0	421	67023	100	100	Acinetobacter baumannii strain ATCC BAA-1790 plasmid unnamed, complete sequence	CP042842.1
AKA33575.1	gb|CP048134.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	74916	100	100	Acinetobacter baumannii strain D46 plasmid pD46-3, complete sequence	CP048134.1
AKA33575.1	gb|CP050392.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	70712	100	100	Acinetobacter baumannii strain VB11737 plasmid pVB11737_1, complete sequence	CP050392.1
AKA33575.1	gb|CP050404.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	99090	100	100	Acinetobacter baumannii strain VB2486 plasmid pVB2486_1, complete sequence	CP050404.1
AKA33575.1	gb|CP050413.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	70098	100	100	Acinetobacter baumannii strain PM192696 plasmid pPM192696_1, complete sequence	CP050413.1
AKA33575.1	gb|CP050909.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	71194	100	100	Acinetobacter baumannii strain DT-Ab022 plasmid unnamed2, complete sequence	CP050909.1
AKA33575.1	gb|CP050912.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	71194	100	100	Acinetobacter baumannii strain DT-Ab020 plasmid unnamed1, complete sequence	CP050912.1
AKA33575.1	gb|CP050915.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	92021	100	100	Acinetobacter baumannii strain DT-Ab007 plasmid unnamed1, complete sequence	CP050915.1
AKA33575.1	gb|CP050917.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	71194	100	100	Acinetobacter baumannii strain DT-Ab003 plasmid unnamed1, complete sequence	CP050917.1
AKA33575.1	gb|CP061516.1|	100.0	421	0	0	1	421	17716	18978	0.0	874.0	421	83626	100	100	Acinetobacter baumannii strain CFSAN093710 plasmid pCFSAN093710_2, complete sequence	CP061516.1
AKA33575.1	gb|CP062921.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	72831	100	100	Acinetobacter baumannii strain Res13-Abat-PEA21-P4-01-A plasmid unnamed1836, complete sequence	CP062921.1
AKA33575.1	gb|CP066230.1|	100.0	421	0	0	1	421	68428	69690	0.0	874.0	421	73339	100	100	Acinetobacter baumannii strain G20AB011 plasmid pG20AB011-1, complete sequence	CP066230.1
AKA33575.1	gb|CP066233.1|	100.0	421	0	0	1	421	52731	53993	0.0	874.0	421	73360	100	100	Acinetobacter baumannii strain G20AB010 plasmid pG20AB010-1, complete sequence	CP066233.1
AKA33575.1	gb|CP066236.1|	100.0	421	0	0	1	421	50759	49497	0.0	874.0	421	73361	100	100	Acinetobacter baumannii strain G20AB009 plasmid pG20AB009-1, complete sequence	CP066236.1
AKA33575.1	gb|CP066238.1|	100.0	421	0	0	1	421	23360	24622	0.0	874.0	421	73361	100	100	Acinetobacter baumannii strain G20AB007 plasmid pG20AB007-1, complete sequence	CP066238.1
AKA33575.1	gb|CP069841.1|	100.0	421	0	0	1	421	23173	21911	0.0	874.0	421	76933	100	100	Acinetobacter baumannii strain FDAARGOS_1360 plasmid unnamed1, complete sequence	CP069841.1
AKA33575.1	gb|CP072124.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	87529	100	100	Acinetobacter baumannii strain KSK1 plasmid p2KSK1, complete sequence	CP072124.1
AKA33575.1	gb|CP072272.1|	100.0	421	0	0	1	421	44301	45563	0.0	874.0	421	68224	100	100	Acinetobacter baumannii strain KSK6 plasmid p2KSK6, complete sequence	CP072272.1
AKA33575.1	gb|CP072277.1|	100.0	421	0	0	1	421	44301	45563	0.0	874.0	421	68225	100	100	Acinetobacter baumannii strain KSK7 plasmid p2KSK7, complete sequence	CP072277.1
AKA33575.1	gb|CP072282.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	87529	100	100	Acinetobacter baumannii strain KSK10 plasmid p2KSK10, complete sequence	CP072282.1
AKA33575.1	gb|CP072287.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	87529	100	100	Acinetobacter baumannii strain KSK11 plasmid p2KSK11, complete sequence	CP072287.1
AKA33575.1	gb|CP072292.1|	100.0	421	0	0	1	421	44301	45563	0.0	874.0	421	68225	100	100	Acinetobacter baumannii strain KSK18 plasmid p2KSK18, complete sequence	CP072292.1
AKA33575.1	gb|CP072297.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	87529	100	100	Acinetobacter baumannii strain KSK19 plasmid p2KSK19, complete sequence	CP072297.1
AKA33575.1	gb|CP072302.1|	100.0	421	0	0	1	421	24146	22884	0.0	874.0	421	68309	100	100	Acinetobacter baumannii strain KSK20 plasmid p2KSK20, complete sequence	CP072302.1
AKA33575.1	gb|CP072400.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	87529	100	100	Acinetobacter baumannii strain KSK2 plasmid p2KSK2, complete sequence	CP072400.1
AKA33575.1	gb|CP076802.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	88371	100	100	Acinetobacter baumannii strain UC25604 plasmid p1UC25604, complete sequence	CP076802.1
AKA33575.1	gb|CP076805.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	105056	100	100	Acinetobacter baumannii strain UC24371 plasmid p1UC24371, complete sequence	CP076805.1
AKA33575.1	gb|CP076818.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	99399	100	100	Acinetobacter baumannii strain UC24137 plasmid p1UC24137, complete sequence	CP076818.1
AKA33575.1	gb|CP077833.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	84262	100	100	Acinetobacter baumannii strain DETAB-P43 plasmid pDETAB7d, complete sequence	CP077833.1
AKA33575.1	gb|CP077836.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	73444	100	100	Acinetobacter baumannii strain DETAB-P65 plasmid pDETAB7b, complete sequence	CP077836.1
AKA33575.1	gb|CP077838.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	72258	100	100	Acinetobacter baumannii strain DETAB-E159 plasmid pDETAB7a, complete sequence	CP077838.1
AKA33575.1	gb|CP077841.1|	99.762	421	1	0	1	421	2572	3834	0.0	873.0	421	70789	100	100	Acinetobacter baumannii strain DETAB-P90 plasmid pDETAB16, complete sequence	CP077841.1
AKA33575.1	gb|CP077844.1|	38.889	378	225	6	18	392	4375	5499	1.27e-84	283.0	421	38952	89	89	Acinetobacter baumannii strain DETAB-E155 plasmid pDETAB14, complete sequence	CP077844.1
AKA33575.1	gb|CP077847.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	70426	100	100	Acinetobacter baumannii strain DETAB-P24 plasmid pDETAB8, complete sequence	CP077847.1
AKA33575.1	gb|CP082219.1|	100.0	421	0	0	1	421	60665	61927	0.0	874.0	421	78023	100	100	Acinetobacter baumannii strain 2018BJAB2 plasmid p2018BJAB2, complete sequence	CP082219.1
AKA33575.1	gb|CP082220.1|	100.0	421	0	0	1	421	61537	62799	0.0	874.0	421	78024	100	100	Acinetobacter baumannii strain 2018BJAB1 plasmid p2018BJAB1, complete sequence	CP082220.1
AKA33575.1	gb|CP082221.1|	100.0	421	0	0	1	421	61536	62798	0.0	874.0	421	78022	100	100	Acinetobacter baumannii strain 2018TJAB1 plasmid p2018TJAB1, complete sequence	CP082221.1
AKA33575.1	gb|CP082222.1|	83.673	392	64	0	1	392	64767	65942	0.0	700.0	421	77531	93	93	Acinetobacter baumannii strain 2014TJAB1 plasmid p2014TJAB1, complete sequence	CP082222.1
AKA33575.1	gb|CP082225.1|	83.673	392	64	0	1	392	64781	65956	0.0	700.0	421	77530	93	93	Acinetobacter baumannii strain 2014BJAB1 plasmid p2014BJAB1, complete sequence	CP082225.1
AKA33575.1	gb|CP082226.1|	99.371	159	1	0	45	203	61628	62104	0.0	328.0	421	77943	100	38	Acinetobacter baumannii strain 2016BJAB1 plasmid p2016BJAB1, complete sequence	CP082226.1
AKA33575.1	gb|CP082228.1|	100.0	421	0	0	1	421	61601	62863	0.0	874.0	421	78030	100	100	Acinetobacter baumannii strain 2018HLJAB2 plasmid p2018HLJAB2, complete sequence	CP082228.1
AKA33575.1	gb|CP082889.1|	83.673	392	64	0	1	392	64775	65950	0.0	700.0	421	77537	93	93	Acinetobacter baumannii strain 2014LNAB1 plasmid p2014LNAB1-2, complete sequence	CP082889.1
AKA33575.1	gb|CP082892.1|	83.673	392	64	0	1	392	64771	65946	0.0	700.0	421	77530	93	93	Acinetobacter baumannii strain 2016LNAB1 plasmid p2016LNAB1-2, complete sequence	CP082892.1
AKA33575.1	gb|CP082895.1|	100.0	421	0	0	1	421	61525	62787	0.0	874.0	421	78023	100	100	Acinetobacter baumannii strain 2018HBAB1 plasmid p2018HBAB1-2, complete sequence	CP082895.1
AKA33575.1	gb|CP084723.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	69524	100	100	Acinetobacter baumannii strain HKU7 plasmid pHKU7b, complete sequence	CP084723.1
AKA33575.1	gb|CP084726.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	69524	100	100	Acinetobacter baumannii strain HKU6 plasmid pHKU6b, complete sequence	CP084726.1
AKA33575.1	gb|CP084729.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	69524	100	100	Acinetobacter baumannii strain HKU5 plasmid pHKU5b, complete sequence	CP084729.1
AKA33575.1	gb|CP084732.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	69524	100	100	Acinetobacter baumannii strain HKU4 plasmid pHKU4b, complete sequence	CP084732.1
AKA33575.1	gb|CP084735.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	69524	100	100	Acinetobacter baumannii strain HKU3 plasmid pHKU3b, complete sequence	CP084735.1
AKA33575.1	gb|CP091595.1|	100.0	421	0	0	1	421	18877	17615	0.0	874.0	421	73145	100	100	Acinetobacter baumannii strain Nord4-2 plasmid pR32_2, complete sequence	CP091595.1
AKA33575.1	gb|CP094285.1|	100.0	421	0	0	1	421	59598	60860	0.0	874.0	421	71194	100	100	Acinetobacter baumannii strain NY5301 plasmid pNY5301-2, complete sequence	CP094285.1
AKA33575.1	gb|CP096689.1|	100.0	421	0	0	1	421	61536	62798	0.0	874.0	421	73209	100	100	Acinetobacter baumannii strain 5840 plasmid p5840, complete sequence	CP096689.1
AKA33575.1	gb|CP096691.1|	100.0	421	0	0	1	421	59683	60945	0.0	874.0	421	71277	100	100	Acinetobacter baumannii strain 5839 plasmid p5839, complete sequence	CP096691.1
AKA33575.1	gb|CP096695.1|	83.673	392	64	0	1	392	64766	65941	0.0	700.0	421	78842	93	93	Acinetobacter baumannii strain 5773 plasmid p5773_2, complete sequence	CP096695.1
AKA33575.1	gb|CP096703.1|	83.673	392	64	0	1	392	57523	58698	0.0	700.0	421	70287	93	93	Acinetobacter baumannii strain 5767 plasmid p5767, complete sequence	CP096703.1
AKA33575.1	gb|CP096706.1|	100.0	421	0	0	1	421	12566	11304	0.0	874.0	421	71277	100	100	Acinetobacter baumannii strain 5761 plasmid p5761, complete sequence	CP096706.1
AKA33575.1	gb|CP096708.1|	83.673	392	64	0	1	392	64767	65942	0.0	700.0	421	77531	93	93	Acinetobacter baumannii strain 5760 plasmid p5760_1, complete sequence	CP096708.1
AKA33575.1	gb|CP096712.1|	83.673	392	64	0	1	392	64779	65954	0.0	700.0	421	77531	93	93	Acinetobacter baumannii strain 5759 plasmid p5759_2, complete sequence	CP096712.1
AKA33575.1	gb|CP096716.1|	83.673	392	64	0	1	392	64766	65941	0.0	700.0	421	77530	93	93	Acinetobacter baumannii strain 5745 plasmid p5745_2, complete sequence	CP096716.1
AKA33575.1	gb|CP096719.1|	99.762	421	1	0	1	421	59634	60896	0.0	873.0	421	70793	100	100	Acinetobacter baumannii strain 5741 plasmid p5741_2, complete sequence	CP096719.1
AKA33575.1	gb|CP096725.1|	83.673	392	64	0	1	392	64770	65945	0.0	700.0	421	77534	93	93	Acinetobacter baumannii strain 5734 plasmid p5734_1, complete sequence	CP096725.1
AKA33575.1	gb|CP096730.1|	83.673	392	64	0	1	392	63915	65090	0.0	700.0	421	77542	93	93	Acinetobacter baumannii strain 5729 plasmid p5729, complete sequence	CP096730.1
AKA33575.1	gb|CP096733.1|	83.673	392	64	0	1	392	58708	59883	0.0	700.0	421	71479	93	93	Acinetobacter baumannii strain 5689 plasmid p5689_2, complete sequence	CP096733.1
AKA33575.1	gb|CP096736.1|	83.673	392	64	0	1	392	64761	65936	0.0	700.0	421	77540	93	93	Acinetobacter baumannii strain 5683 plasmid p5683_1, complete sequence	CP096736.1
AKA33575.1	gb|CP096739.1|	100.0	421	0	0	1	421	61503	62765	0.0	874.0	421	73209	100	100	Acinetobacter baumannii strain 5679 plasmid p5679, complete sequence	CP096739.1
AKA33575.1	gb|CP096744.1|	100.0	421	0	0	1	421	59634	60896	0.0	874.0	421	71278	100	100	Acinetobacter baumannii strain 5671 plasmid p5671_2, complete sequence	CP096744.1
AKA33575.1	gb|CP096751.1|	83.673	392	64	0	1	392	64753	65928	0.0	700.0	421	77530	93	93	Acinetobacter baumannii strain 5666 plasmid p5666_2, complete sequence	CP096751.1
AKA33575.1	gb|CP096754.1|	100.0	421	0	0	1	421	59194	60456	0.0	874.0	421	71044	100	100	Acinetobacter baumannii strain 5664 plasmid p5664, complete sequence	CP096754.1
AKA33575.1	gb|CP096756.1|	100.0	421	0	0	1	421	59168	60430	0.0	874.0	421	71044	100	100	Acinetobacter baumannii strain 5663 plasmid p5663, complete sequence	CP096756.1
AKA33575.1	gb|CP096763.1|	100.0	421	0	0	1	421	2838	4100	0.0	874.0	421	72248	100	100	Acinetobacter baumannii strain 5651 plasmid p5651, complete sequence	CP096763.1
AKA33575.1	gb|CP096769.1|	83.673	392	64	0	1	392	3613	2438	0.0	700.0	421	77533	93	93	Acinetobacter baumannii strain 5388 plasmid p5388_1, complete sequence	CP096769.1
AKA33575.1	gb|CP099785.1|	100.0	421	0	0	1	421	49252	50514	0.0	874.0	421	75310	100	100	Acinetobacter baumannii strain NCCP 15989 plasmid unnamed, complete sequence	CP099785.1
AKA33575.1	gb|CP099787.1|	100.0	421	0	0	1	421	31097	29835	0.0	874.0	421	72095	100	100	Acinetobacter baumannii strain NCCP 15992 plasmid unnamed, complete sequence	CP099787.1
